record_id,redacted_data_json,is_pii
1,"{""customer_id"": ""CUST001"", ""phone"": ""98XXXXXX10"", ""order_value"": 1299}",True
2,"{""name"": ""Rajesh Kumar"", ""email"": ""raXXX@email.com"", ""city"": ""Mumbai""}",True
4,"{""aadhar"": ""XXXX XXXX 9012"", ""transaction_type"": ""purchase""}",True
5,"{""email"": ""stXXX@email.com"", ""product_id"": ""PROD123""}",True
6,"{""name"": ""AXXX SXXX"", ""address"": ""[REDACTED_ADDRESS], 560001"", ""ip_address"": ""192.168.1.100""}",True
10,"{""passport"": ""PXXXXXXX"", ""booking_reference"": ""BK123""}",True
12,"{""name"": ""Sneha Patel"", ""email"": ""snXXX@gmail.com"", ""device_id"": ""MOB123456""}",True
14,"{""phone"": ""87XXXXXX09"", ""order_date"": ""2024-01-15""}",True
16,"{""name"": ""Vikram Reddy"", ""address"": ""456 Brigade Road, Bengaluru, 560025"", ""email"": ""viXXX@company.com""}",True
18,"{""aadhar"": ""XXXX XXXX 1098"", ""verification_status"": ""verified""}",True
19,"{""email"": ""cuXXX@service.com"", ""query_type"": ""refund""}",True
20,"{""upi_id"": ""91XXX@ybl"", ""merchant"": ""Flipkart""}",True
22,"{""name"": ""Deepika Agarwal"", ""phone"": ""78XXXXXX56"", ""email"": ""deXXX@email.com""}",True
24,"{""passport"": ""MXXXXXXX"", ""travel_date"": ""2024-03-15""}",True
26,"{""name"": ""RXXX GXXX"", ""address"": ""[REDACTED_ADDRESS], 700016"", ""ip_address"": ""10.0.0.50""}",True
28,"{""phone"": ""67XXXXXX45"", ""sms_consent"": true}",True
30,"{""aadhar"": ""XXXX XXXX 3045"", ""kyc_status"": ""pending""}",True
32,"{""name"": ""Meera Joshi"", ""email"": ""meXXX@workplace.com"", ""device_type"": ""Android""}",True
36,"{""name"": ""Arjun Malhotra"", ""address"": ""321 Connaught Place, New Delhi, 110001"", ""phone"": ""90XXXXXX78""}",True
38,"{""passport"": ""LXXXXXXX"", ""country"": ""India""}",True
40,"{""aadhar"": ""XXXX XXXX 0123"", ""bank_verification"": ""success""}",True
42,"{""name"": ""Siddharth Nair"", ""email"": ""siXXX@tech.com"", ""ip_address"": ""203.192.1.45""}",True
44,"{""phone"": ""89XXXXXX67"", ""notification_preference"": ""SMS""}",True
48,"{""name"": ""Pooja Desai"", ""address"": ""567 FC Road, Pune, 411016"", ""email"": ""poXXX@email.in""}",True
